facility_type,ID,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,FCLTY_LO,FCLTY_LA,OPNNG_DE,OPNNG_DE_RAW,OPNNG_DE_PRECISION,OPNNG_DAY_CO,BASE_DE,LAST_CHG_DE,LND_AR_VALUE,EDC_FCLTY_AR_VALUE,DATA_SPCE_AR_VALUE,NMPR_CO,QUALF_HOLD_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,PRFSN_CO,PRVATE_VLNTER_CO,DATA_CO,TOT_PROGRM_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,MOBILE_PROVD_AT,SOUND_PROVD_AT,HMPG_ADDR,TEL_NO,OPNNG_DAY_CO_IQR_OUTLIER,LND_AR_VALUE_IQR_OUTLIER,EDC_FCLTY_AR_VALUE_IQR_OUTLIER,DATA_SPCE_AR_VALUE_IQR_OUTLIER,NMPR_CO_IQR_OUTLIER,QUALF_HOLD_CO_IQR_OUTLIER,GNRL_GVRNM_EMP_CO_IQR_OUTLIER,CNTRCT_EMP_CO_IQR_OUTLIER,PUBLIC_VLNTER_CO_IQR_OUTLIER,ARTGR_EMP_CO_IQR_OUTLIER,PRFSN_CO_IQR_OUTLIER,PRVATE_VLNTER_CO_IQR_OUTLIER,DATA_CO_IQR_OUTLIER,TOT_PROGRM_CO_IQR_OUTLIER,VIEWNG_NMPR_CO_IQR_OUTLIER,DAY_AVRG_VIEWNG_NMPR_CO_IQR_OUTLIER,IQR_OUTLIER_FLAG_COUNT,OPNNG_YEAR,BASE_YEAR,OPERATING_YEARS,REGION_GROUP,SIDO_SIGUNGU,LOG1P_LND_AR_VALUE,LOG1P_EDC_FCLTY_AR_VALUE,LOG1P_DATA_SPCE_AR_VALUE,LOG1P_NMPR_CO,LOG1P_DATA_CO,LOG1P_TOT_PROGRM_CO,LOG1P_VIEWNG_NMPR_CO,LOG1P_DAY_AVRG_VIEWNG_NMPR_CO
박물관,KCDMMUS23N000000011,국립기상박물관,서울,종로구,송월동,사직동,126.9662042,37.57022174,2020-10-30,2020.10.30,day,310.0,2025-03-27,2025-03-27,4155.6,66.0,,1.0,,2.0,,,,,,,5.0,14206.0,46.0,O,O,science.kma.go.kr/museum,070-7850-8495,False,False,False,,False,,False,,,,,,,False,False,False,0,2020,2025,5,수도권,서울 종로구,8.332452711384972,4.204692619390966,,0.6931471805599453,,1.791759469228055,9.561490079872078,3.8501476017100584
박물관,KCDMMUS23N000000012,국토발전전시관,서울,중구,정동,소공동,126.9700824,37.56681018,2017-11-02,2017.11.02,day,306.0,2025-03-27,2025-03-27,3728.6,137.5,667.0,,,4.0,,24.0,,,,,6.0,126322.0,413.0,X,O,www.molit.go.kr/molitum,02-3425-8900,False,False,False,True,,,False,,False,,,,,False,False,False,1,2017,2025,8,수도권,서울 중구,8.224056268281492,4.930870325627393,6.504288173536645,,,1.9459101490553132,11.746597397855876,6.025865973825314
박물관,KCDMMUS23N000000013,국회박물관,서울,영등포구,여의도동,여의동,126.9164039,37.53291197,1998-05-29,1998.05.29,day,214.0,2025-03-27,2025-03-27,2550.0,736.21,,9.0,5.0,8.0,4.0,,,,,,6.0,267181.0,1248.0,O,X,museum.assembly.go.kr,02-6788-3664,False,False,True,,False,True,False,False,,,,,,False,True,True,4,1998,2025,27,수도권,서울 영등포구,7.844240718141811,6.602872790543602,,2.302585092994046,,1.9459101490553132,12.495685353106024,7.130098510125578
박물관,KCDMMUS23N000000014,석조전 대한제국역사관,서울,중구,정동,소공동,126.9737258,37.56608683,2014-10-13,2014.10.13,day,313.0,2025-03-27,2025-03-27,1630.0,,37.0,1.0,,18.0,,,,,,1300.0,4.0,1335076.0,4265.0,X,O,www.deoksugung.go.kr/,02-771-9953,False,False,,False,False,,True,,,,,,False,False,True,True,3,2014,2025,11,수도권,서울 중구,7.396948602621014,,3.6375861597263857,0.6931471805599453,7.170888478512505,1.6094379124341003,14.104499526055802,8.358431899031295
박물관,KCDMMUS23N000000015,한국영화박물관,서울,마포구,상암동,상암동,126.8898393,37.58065618,2008-05-09,2008.05.09,day,225.0,2025-03-27,2025-03-27,962.0,1031.54,672.0,1.0,,,1.0,6.0,,,,67914.0,22.0,33705.0,150.0,O,O,www.koreafilm.or.kr/museum/main,02-3153-2072,False,False,True,True,False,,,False,False,,,,True,False,False,False,3,2008,2025,17,수도권,서울 마포구,6.870053411798126,6.939777065004875,6.511745329644728,0.6931471805599453,11.126012202256591,3.1354942159291497,10.425431142035965,5.017279836814924
박물관,KCDMMUS23N000000016,국립항공박물관,서울,강서구,공항동,공항동,126.8088723,37.55686977,2020-07-05,2020.07.05,day,311.0,2025-03-27,2025-03-27,3425949.9,344.4,347.6,22.0,3.0,,1.0,2550.0,,,,11992.0,20.0,312633.0,1005.0,X,X,www.aviation.or.kr,02-6940-3198,False,True,False,True,False,True,,False,True,,,,False,False,True,True,6,2020,2025,5,수도권,서울 강서구,15.046889626181484,5.844703165712578,5.85392513308592,3.1354942159291497,9.392078425231722,3.044522437723423,12.652788456250146,6.913737350659685
박물관,KCDMMUS23N000000017,국립대한민국임시정부기념관,서울,서대문구,현저동,천연동,126.9544173,37.57599973,2022-03-01,2022.03.01,day,300.0,2025-03-27,2025-03-27,3656.0,1043.0,593.0,24.0,12.0,,,,,,,8090.0,17.0,164627.0,549.0,O,O,www.nmkpg.go.kr,02-772-8708,False,False,True,True,True,True,,,,,,,False,False,True,True,6,2022,2025,3,수도권,서울 서대문구,8.204398418149381,6.950814768442584,6.386879319362645,3.2188758248682006,8.99850761180784,2.8903717578961645,12.011443662114166,6.309918278226516
박물관,KCDMMUS23N000000018,둘리뮤지엄,서울,도봉구,쌍문동,쌍문1동,127.0276385,37.65242986,2015-07-24,2015.07.24,day,306.0,2025-03-27,2025-03-27,5600.0,103.0,180.0,,,,,2518.0,,,,14912.0,12.0,74520.0,244.0,O,X,www.doolymuseum.or.kr,02-990-2200,False,False,False,False,,,,,True,,,,False,False,False,False,1,2015,2025,10,수도권,서울 도봉구,8.630700432209832,4.6443908991413725,5.198497031265826,,9.609988594762783,2.5649493574615367,11.218836243841805,5.501258210544727
박물관,KCDMMUS23N000000019,서대문자연사박물관,서울,서대문구,연희동,연희동,126.9378582,37.57675199,2003-07-10,2003.07.10,day,310.0,2025-03-27,2025-03-27,10174.0,384.0,323.0,9.0,,6.0,3.0,99.0,,,,8000.0,15.0,246564.0,795.0,O,X,namu.sdm.go.kr,02-330-8899,False,False,False,True,False,,False,False,False,,,,False,False,True,True,3,2003,2025,22,수도권,서울 서대문구,9.227689010310796,5.953243334287785,5.780743515792329,2.302585092994046,8.987321812850125,2.772588722239781,12.41538092938791,6.679599185844383
박물관,KCDMMUS23N000000020,서대문형무소역사관,서울,서대문구,현저동,천연동,126.9556118,37.57460851,1998-11-05,1998.11.05,day,311.0,2025-03-27,2025-03-27,28112.0,230.0,,,,,,28.0,,,,,11.0,650000.0,2090.0,O,O,www.sphh.sscmc.or.kr,02-360-8590,False,False,False,,,,,,False,,,,,False,True,True,2,1998,2025,27,수도권,서울 서대문구,10.243987381791934,5.442417710521793,,,,2.4849066497880004,13.384729180332174,7.645397699428633
박물관,KCDMMUS23N000000021,서소문성지 역사박물관,서울,중구,의주로2가,중림동,126.9688672,37.56056785,2019-06-01,2019.06.01,day,310.0,2025-03-27,2025-03-27,21363.0,354.7,169.87,3.0,,,3.0,165.0,,,,5500.0,11.0,188620.0,608.0,X,X,www.seosomun.org,02-3147-2404,False,False,False,False,False,,,False,True,,,,False,False,True,True,3,2019,2025,6,수도권,서울 중구,9.969462541459661,5.874087678954409,5.140903033460182,1.3862943611198906,8.612685172875459,2.4849066497880004,12.147494989748544,6.411818267709897
박물관,KCDMMUS23N000000022,서울공예박물관,서울,종로구,안국동,삼청동,126.9832613,37.57661119,2021-11-29,2021.11.29,day,318.0,2025-03-27,2025-03-27,14170.0,339.0,176.0,16.0,,13.0,8.0,,,,,12702.0,31.0,532717.0,1675.0,O,O,craftmuseum.seoul.go.kr,02-6450-7000,False,False,False,False,False,,False,False,,,,,False,True,True,True,3,2021,2025,4,수도권,서울 종로구,9.55895290182487,5.8289456176102075,5.176149732573829,2.833213344056216,9.44959346502346,3.4657359027997265,13.185747482459991,7.424165281042028
박물관,KCDMMUS23N000000023,서울교육박물관,서울,종로구,화동,삼청동,126.9838701,37.58126545,1994-06-10,1994.06.10,day,201.0,2025-03-27,2025-03-27,36470.0,,,3.0,2.0,,,3.0,,,,,3.0,91211.0,454.0,X,X,edumuseum.sen.go.kr,02-2022-5780,False,False,,,False,False,,,False,,,,,False,False,False,0,1994,2025,31,수도권,서울 종로구,10.504272703223904,,,1.3862943611198906,,1.3862943611198906,11.42094174635404,6.12029741895095
박물관,KCDMMUS23N000000024,서울상상나라,서울,광진구,능동,능동,127.0787702,37.55201179,2013-05-02,2013.05.02,day,307.0,2025-03-27,2025-03-27,6600.0,1015.0,,8.0,,5.0,8.0,50.0,,,,,101.0,403324.0,1314.0,O,X,www.seoulchildrensmuseum.org,02-6450-9500,False,False,True,,False,,False,False,False,,,,,True,True,True,4,2013,2025,12,수도권,서울 광진구,8.79497643168877,6.923628628138427,,2.1972245773362196,,4.624972813284271,12.907497967534345,7.181591944611865
박물관,KCDMMUS23N000000025,서울생활사박물관,서울,노원구,공릉동,공릉1동,127.0769362,37.62017392,2019-09-26,2019.09.26,day,313.0,2025-03-27,2025-03-27,13209.0,280.0,,8.0,3.0,,,,,,,,16.0,146209.0,467.0,X,O,museum.seoul.go.kr/sulm/index.do,02-3399-2900,False,False,False,,False,True,,,,,,,,False,False,False,1,2019,2025,6,수도권,서울 노원구,9.488729397516371,5.638354669333745,,2.1972245773362196,,2.833213344056216,11.892799223411483,6.148468295917647
박물관,KCDMMUS23N000000026,서울약령시한의약박물관,서울,동대문구,제기동,제기동,127.0375866,37.58060041,2017-10-27,2017.10.27,day,310.0,2025-03-27,2025-03-27,2790.0,210.0,29.0,3.0,3.0,3.0,,33.0,,,,300.0,14.0,112640.0,363.0,X,O,museum.ddm.go.kr,02-969-9241,False,False,False,False,False,True,False,,False,,,,False,False,False,False,1,2017,2025,8,수도권,서울 동대문구,7.934155233536322,5.351858133476067,3.4011973816621555,1.3862943611198906,5.707110264748875,2.70805020110221,11.63196104919337,5.8971538676367405
박물관,KCDMMUS23N000000027,서울역사박물관,서울,종로구,신문로2가,사직동,126.9710752,37.57049685,2002-05-21,2002.05.21,day,318.0,2025-03-27,2025-03-27,99728.0,294.2,184.8,48.0,,43.0,13.0,,,,,45518.0,44.0,581669.0,1829.0,X,O,museum.seoul.go.kr,02-724-0274~6,False,True,False,False,True,,True,True,,,,,True,True,True,True,8,2002,2025,23,수도권,서울 종로구,11.510211786272546,5.687653092726317,5.224670826379739,3.8918202981106265,10.72588510019335,3.8066624897703196,13.27365855559316,7.512071245835466
박물관,KCDMMUS23N000000028,서울우리소리박물관,서울,종로구,와룡동,종로1.2.3.4가동,126.989622,37.57715793,2019-11-21,2019.11.21,day,318.0,2025-03-27,2025-03-27,854.0,70.0,,6.0,1.0,2.0,2.0,,,,,1673.0,16.0,90191.0,284.0,X,O,museum.seoul.go.kr/sekm,02-742-2600,False,False,False,,False,False,False,False,,,,,False,False,False,False,0,2019,2025,6,수도권,서울 종로구,6.75110146893676,4.2626798770413155,,1.9459101490553132,7.422971251049421,2.833213344056216,11.409696010321356,5.652489180268651
박물관,KCDMMUS23N000000029,성북선잠박물관,서울,성북구,성북동,성북동,126.9982198,37.5932329,2018-04-10,2018.04.10,day,309.0,2025-03-27,2025-03-27,300.0,,,3.0,,,1.0,5.0,,,,1005.0,7.0,8639.0,28.0,X,O,museum.sb.go.kr,02-744-0025,False,False,,,False,,,False,False,,,,False,False,False,False,0,2018,2025,7,수도권,서울 성북구,5.707110264748875,,,1.3862943611198906,6.913737350659685,2.0794415416798357,9.064157861798101,3.367295829986474
박물관,KCDMMUS23N000000030,손기정기념관,서울,중구,만리동2가,중림동,126.9648157,37.5554795,2012-10-14,2012.10.14,day,306.0,2025-03-27,2025-03-27,831.0,226.0,20.0,1.0,,,,,,,,300.0,4.0,4486.0,16.0,O,O,www.sonkeechung.com,02-364-1936,False,False,False,False,False,,,,,,,,False,False,False,False,0,2012,2025,13,수도권,서울 중구,6.723832440821209,5.424950017481403,3.044522437723423,0.6931471805599453,5.707110264748875,1.6094379124341003,8.408939605975984,2.833213344056216
박물관,KCDMMUS23N000000031,송파책박물관,서울,송파구,가락동,가락1동,127.1043834,37.49888418,2019-04-23,2019.04.23,day,310.0,2025-03-27,2025-03-27,14856.0,180.0,,11.0,,8.0,8.0,20.0,,,,28359.0,17.0,272166.0,878.0,O,O,www.bookmuseum.go.kr,02-2147-2486,False,False,False,,False,,False,False,False,,,,True,False,True,True,3,2019,2025,6,수도권,서울 송파구,9.606226413637353,5.198497031265826,,2.4849066497880004,10.252734980646064,2.8903717578961645,12.51417112746354,6.778784897685177
박물관,KCDMMUS23N000000032,암사동선사유적박물관,서울,강동구,암사동,암사2동,127.1308334,37.55985237,1988-08-30,1988.08.30,day,312.0,2025-03-27,2025-03-27,102001.0,123.0,73.0,2.0,2.0,5.0,,18.0,,,,2214.0,12.0,98382.0,315.0,O,O,sunsa.gangdong.go.kr,02-3425-6520,False,True,False,False,False,False,False,,False,,,,False,False,False,False,1,1988,2025,37,수도권,서울 강동구,11.532747699917314,4.820281565605037,4.30406509320417,1.0986122886681098,7.703007682479236,2.5649493574615367,11.496623303887244,5.755742213586912
박물관,KCDMMUS23N000000033,용산역사박물관,서울,용산구,한강로3가,한강로동,126.9657694,37.52566804,2022-03-23,2022.03.23,day,310.0,2025-03-27,2025-03-27,1242.93,159.31,,7.0,4.0,5.0,3.0,18.0,,,,,14.0,62929.0,203.0,X,X,museum.yongsan.go.kr,02-2199-7270,False,False,False,,False,True,False,False,False,,,,,False,False,False,1,2022,2025,3,수도권,서울 용산구,7.126031001619441,5.077109440701582,,2.0794415416798357,,2.70805020110221,11.049778276520978,5.318119993844216
박물관,KCDMMUS23N000000034,은평역사한옥박물관,서울,은평구,진관동,진관동,126.9380082,37.64033363,2014-10-07,2014.10.07,day,308.0,2025-03-27,2025-03-27,6530.0,102.0,36.0,5.0,5.0,4.0,,25.0,,,,,17.0,68427.0,222.0,X,O,museum.ep.go.kr,02-351-8556,False,False,False,False,False,True,False,,False,,,,,False,False,False,1,2014,2025,11,수도권,서울 은평구,8.784315349902657,4.634728988229636,3.6109179126442243,1.791759469228055,,2.8903717578961645,11.133537376572182,5.407171771460119
박물관,KCDMMUS23N000000035,청계천박물관,서울,성동구,마장동,마장동,127.0350432,37.57126617,2005-09-26,2005.09.26,day,317.0,2025-03-27,2025-03-27,2484.0,491.0,,9.0,,2.0,5.0,3.0,,,,,12.0,137285.0,433.0,X,X,museum.seoul.go.kr/cgcm/index.do,02-2286-3410,False,False,False,,False,,False,False,False,,,,,False,False,False,0,2005,2025,20,수도권,서울 성동구,7.818027938530729,6.198478716492308,,2.302585092994046,,2.5649493574615367,11.829821620060404,6.073044534100405
박물관,KCDMMUS23N000000036,한성백제박물관,서울,송파구,방이동,오륜동,127.1208007,37.51542872,2012-04-30,2012.04.30,day,312.0,2025-03-27,2025-03-27,14894.2,576.0,412.1,23.0,8.0,18.0,2.0,99.0,,,,65007.0,40.0,511919.0,1641.0,O,X,baekjemuseum.seoul.go.kr,02-2152-5800,False,False,True,True,True,True,True,False,False,,,,True,True,True,True,9,2012,2025,13,수도권,서울 송파구,9.608794292381843,6.3578422665081,6.0236896944027185,3.1780538303479458,11.082265618227508,3.713572066704308,13.145923641813342,7.403670290012373
박물관,KCDMMUS23N000000037,허준박물관,서울,강서구,가양동,가양2동,126.8510312,37.56787245,2005-03-23,2005.03.23,day,310.0,2025-03-27,2025-03-27,5693.0,298.0,18.0,,,,,31.0,,,,1754.0,15.0,45385.0,146.0,X,X,culture.gangseo.seoul.kr,02-3661-8686,False,False,False,False,,,,,False,,,,False,False,False,False,0,2005,2025,20,수도권,서울 강서구,8.647168267837984,5.700443573390687,2.9444389791664403,,7.470224135899966,2.772588722239781,10.722958966429568,4.990432586778736
박물관,KCDMMUS23N000000038,종로구립 고희동미술관,서울,종로구,원서동,가회동,126.9888849,37.58318551,2012-11-23,2012.11.23,day,292.0,2025-03-27,2025-03-27,540.0,,,8.0,,,5.0,,,,,,3.0,22709.0,78.0,X,X,www.jfac.or.kr/site/main/home,02-741-8424,False,False,,,False,,,False,,,,,,False,False,False,0,2012,2025,13,수도권,서울 종로구,6.293419278846481,,,2.1972245773362196,,1.3862943611198906,10.030560635099604,4.3694478524670215
박물관,KCDMMUS23N000000039,G밸리산업박물관,서울,구로구,구로동,구로3동,126.8953185,37.4798477,2021-11-01,2021.11.01,day,300.0,2025-03-27,2025-03-27,4053.2,169.2,,12.0,,2.0,9.0,,,,,,14.0,20000.0,67.0,O,O,www.seoul.go.kr/museumg/index.do,02-6734-6900~1,False,False,False,,False,,False,True,,,,,,False,False,False,1,2021,2025,4,수도권,서울 구로구,8.307508659786183,5.136974216139274,,2.5649493574615367,,2.70805020110221,9.90353755128617,4.219507705176107
박물관,KCDMMUS23N000000040,가회민화박물관,서울,종로구,가회동,가회동,126.9852625,37.58153972,2002-07-01,2002.07.01,day,305.0,2025-03-27,2025-03-27,136.0,100.0,,,,,,,2.0,,,,34.0,18562.0,61.0,X,X,www.gahoemuseum.org,02-741-0466,False,False,False,,,,,,,False,,,,True,False,False,1,2002,2025,23,수도권,서울 종로구,4.919980925828125,4.61512051684126,,,,3.5553480614894135,9.828925631209223,4.127134385045092
박물관,KCDMMUS23N000000041,간송박물관,서울,성북구,성북동,성북동,126.9962385,37.59446244,1938-07-05,1938.07.05,day,110.0,2025-03-27,2025-03-27,1921.0,72.0,,,,,,,14.0,2.0,,,5.0,1870.0,17.0,X,X,kansong.org,02-744-7830,True,False,False,,,,,,,True,False,,,False,False,False,2,1938,2025,87,수도권,서울 성북구,7.561121589530238,4.290459441148391,,,,1.791759469228055,7.534228326274089,2.8903717578961645
박물관,KCDMMUS23N000000042,경기여자고등학교 경운박물관,서울,강남구,개포동,개포2동,127.0661236,37.48695452,2003-04-15,2003.04.15,day,253.0,2025-03-27,2025-03-27,482.0,898.0,13.0,,,,,,8.0,,35.0,8500.0,3.0,4000.0,16.0,X,X,kwmuseum.org,02-3463-1336,False,False,True,False,,,,,,False,,True,False,False,False,False,2,2003,2025,22,수도권,서울 강남구,6.180016653652572,6.80128303447162,2.6390573296152584,,9.04793908261736,1.3862943611198906,8.294299608857235,2.833213344056216
박물관,KCDMMUS23N000000043,고촌이종근기념관,서울,서대문구,충정로3가,충현동,126.9632067,37.5597337,2013-11-12,2013.11.12,day,246.0,2025-03-27,2025-03-27,3834.0,,,,,,,,1.0,,,,7.0,2243.0,9.0,O,X,www.kochonhall.or.kr,02-365-6940,False,False,,,,,,,,False,,,,False,False,False,0,2013,2025,12,수도권,서울 서대문구,8.251924713801357,,,,,2.0794415416798357,7.716015266642587,2.302585092994046
박물관,KCDMMUS23N000000044,관문사성보 박물관,서울,서초구,우면동,양재1동,127.0222823,37.47375033,2006-10-01,2006.10.01,day,100.0,2025-03-27,2025-03-27,2640.0,300.0,,,,,,,1.0,,,,,1000.0,10.0,X,X,www.gwanmunsa.org,02-3460-5300,True,False,False,,,,,,,False,,,,,False,False,1,2006,2025,19,수도권,서울 서초구,7.878912912297133,5.707110264748875,,,,,6.90875477931522,2.3978952727983707
박물관,KCDMMUS23N000000045,기생충박물관,서울,강서구,화곡동,화곡6동,126.8507501,37.55362014,2017-12-19,2017.12.19,day,300.0,2025-03-27,2025-03-27,738.0,120.0,,,,,,,2.0,,12.0,,11.0,5963.0,20.0,O,O,www.parasite.or.kr,02-2601-3284,False,False,False,,,,,,,False,,False,,False,False,False,0,2017,2025,8,수도권,서울 강서구,6.6052979209482015,4.795790545596741,,,,2.4849066497880004,8.69349667588463,3.044522437723423
