facility_type,ID,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,FCLTY_LO,FCLTY_LA,OPNNG_DE,OPNNG_DE_RAW,OPNNG_DE_PRECISION,OPNNG_DAY_CO,BASE_DE,LAST_CHG_DE,LND_AR_VALUE,EDC_FCLTY_AR_VALUE,DATA_SPCE_AR_VALUE,NMPR_CO,QUALF_HOLD_CO,GNRL_GVRNM_EMP_CO,CNTRCT_EMP_CO,PUBLIC_VLNTER_CO,ARTGR_EMP_CO,PRFSN_CO,PRVATE_VLNTER_CO,DATA_CO,TOT_PROGRM_CO,VIEWNG_NMPR_CO,DAY_AVRG_VIEWNG_NMPR_CO,MOBILE_PROVD_AT,SOUND_PROVD_AT,HMPG_ADDR,TEL_NO
박물관,KCDMMUS23N000000019,서대문자연사박물관,서울,서대문구,연희동,연희동,126.9378582,37.57675199,2003-07-10,2003.07.10,day,310.0,2025-03-27,2025-03-27,10174.0,384.0,323.0,9.0,,6.0,3.0,99.0,,,,8000.0,15.0,246564.0,795.0,O,X,namu.sdm.go.kr,02-330-8899
박물관,KCDMMUS23N000000020,서대문형무소역사관,서울,서대문구,현저동,천연동,126.9556118,37.57460851,1998-11-05,1998.11.05,day,311.0,2025-03-27,2025-03-27,28112.0,230.0,,,,,,28.0,,,,,11.0,650000.0,2090.0,O,O,www.sphh.sscmc.or.kr,02-360-8590
박물관,KCDMMUS23N000000021,서소문성지 역사박물관,서울,중구,의주로2가,중림동,126.9688672,37.56056785,2019-06-01,2019.06.01,day,310.0,2025-03-27,2025-03-27,21363.0,354.7,169.87,3.0,,,3.0,165.0,,,,5500.0,11.0,188620.0,608.0,X,X,www.seosomun.org,02-3147-2404
박물관,KCDMMUS23N000000022,서울공예박물관,서울,종로구,안국동,삼청동,126.9832613,37.57661119,2021-11-29,2021.11.29,day,318.0,2025-03-27,2025-03-27,14170.0,339.0,176.0,16.0,,13.0,8.0,,,,,12702.0,31.0,532717.0,1675.0,O,O,craftmuseum.seoul.go.kr,02-6450-7000
박물관,KCDMMUS23N000000023,서울교육박물관,서울,종로구,화동,삼청동,126.9838701,37.58126545,1994-06-10,1994.06.10,day,201.0,2025-03-27,2025-03-27,36470.0,,,3.0,2.0,,,3.0,,,,,3.0,91211.0,454.0,X,X,edumuseum.sen.go.kr,02-2022-5780
박물관,KCDMMUS23N000000024,서울상상나라,서울,광진구,능동,능동,127.0787702,37.55201179,2013-05-02,2013.05.02,day,307.0,2025-03-27,2025-03-27,6600.0,1015.0,,8.0,,5.0,8.0,50.0,,,,,101.0,403324.0,1314.0,O,X,www.seoulchildrensmuseum.org,02-6450-9500
박물관,KCDMMUS23N000000025,서울생활사박물관,서울,노원구,공릉동,공릉1동,127.0769362,37.62017392,2019-09-26,2019.09.26,day,313.0,2025-03-27,2025-03-27,13209.0,280.0,,8.0,3.0,,,,,,,,16.0,146209.0,467.0,X,O,museum.seoul.go.kr/sulm/index.do,02-3399-2900
박물관,KCDMMUS23N000000026,서울약령시한의약박물관,서울,동대문구,제기동,제기동,127.0375866,37.58060041,2017-10-27,2017.10.27,day,310.0,2025-03-27,2025-03-27,2790.0,210.0,29.0,3.0,3.0,3.0,,33.0,,,,300.0,14.0,112640.0,363.0,X,O,museum.ddm.go.kr,02-969-9241
박물관,KCDMMUS23N000000027,서울역사박물관,서울,종로구,신문로2가,사직동,126.9710752,37.57049685,2002-05-21,2002.05.21,day,318.0,2025-03-27,2025-03-27,99728.0,294.2,184.8,48.0,,43.0,13.0,,,,,45518.0,44.0,581669.0,1829.0,X,O,museum.seoul.go.kr,02-724-0274~6
박물관,KCDMMUS23N000000028,서울우리소리박물관,서울,종로구,와룡동,종로1.2.3.4가동,126.989622,37.57715793,2019-11-21,2019.11.21,day,318.0,2025-03-27,2025-03-27,854.0,70.0,,6.0,1.0,2.0,2.0,,,,,1673.0,16.0,90191.0,284.0,X,O,museum.seoul.go.kr/sekm,02-742-2600
박물관,KCDMMUS23N000000029,성북선잠박물관,서울,성북구,성북동,성북동,126.9982198,37.5932329,2018-04-10,2018.04.10,day,309.0,2025-03-27,2025-03-27,300.0,,,3.0,,,1.0,5.0,,,,1005.0,7.0,8639.0,28.0,X,O,museum.sb.go.kr,02-744-0025
박물관,KCDMMUS23N000000030,손기정기념관,서울,중구,만리동2가,중림동,126.9648157,37.5554795,2012-10-14,2012.10.14,day,306.0,2025-03-27,2025-03-27,831.0,226.0,20.0,1.0,,,,,,,,300.0,4.0,4486.0,16.0,O,O,www.sonkeechung.com,02-364-1936
박물관,KCDMMUS23N000000031,송파책박물관,서울,송파구,가락동,가락1동,127.1043834,37.49888418,2019-04-23,2019.04.23,day,310.0,2025-03-27,2025-03-27,14856.0,180.0,,11.0,,8.0,8.0,20.0,,,,28359.0,17.0,272166.0,878.0,O,O,www.bookmuseum.go.kr,02-2147-2486
박물관,KCDMMUS23N000000032,암사동선사유적박물관,서울,강동구,암사동,암사2동,127.1308334,37.55985237,1988-08-30,1988.08.30,day,312.0,2025-03-27,2025-03-27,102001.0,123.0,73.0,2.0,2.0,5.0,,18.0,,,,2214.0,12.0,98382.0,315.0,O,O,sunsa.gangdong.go.kr,02-3425-6520
박물관,KCDMMUS23N000000033,용산역사박물관,서울,용산구,한강로3가,한강로동,126.9657694,37.52566804,2022-03-23,2022.03.23,day,310.0,2025-03-27,2025-03-27,1242.93,159.31,,7.0,4.0,5.0,3.0,18.0,,,,,14.0,62929.0,203.0,X,X,museum.yongsan.go.kr,02-2199-7270
박물관,KCDMMUS23N000000034,은평역사한옥박물관,서울,은평구,진관동,진관동,126.9380082,37.64033363,2014-10-07,2014.10.07,day,308.0,2025-03-27,2025-03-27,6530.0,102.0,36.0,5.0,5.0,4.0,,25.0,,,,,17.0,68427.0,222.0,X,O,museum.ep.go.kr,02-351-8556
박물관,KCDMMUS23N000000035,청계천박물관,서울,성동구,마장동,마장동,127.0350432,37.57126617,2005-09-26,2005.09.26,day,317.0,2025-03-27,2025-03-27,2484.0,491.0,,9.0,,2.0,5.0,3.0,,,,,12.0,137285.0,433.0,X,X,museum.seoul.go.kr/cgcm/index.do,02-2286-3410
박물관,KCDMMUS23N000000036,한성백제박물관,서울,송파구,방이동,오륜동,127.1208007,37.51542872,2012-04-30,2012.04.30,day,312.0,2025-03-27,2025-03-27,14894.2,576.0,412.1,23.0,8.0,18.0,2.0,99.0,,,,65007.0,40.0,511919.0,1641.0,O,X,baekjemuseum.seoul.go.kr,02-2152-5800
박물관,KCDMMUS23N000000037,허준박물관,서울,강서구,가양동,가양2동,126.8510312,37.56787245,2005-03-23,2005.03.23,day,310.0,2025-03-27,2025-03-27,5693.0,298.0,18.0,,,,,31.0,,,,1754.0,15.0,45385.0,146.0,X,X,culture.gangseo.seoul.kr,02-3661-8686
박물관,KCDMMUS23N000000038,종로구립 고희동미술관,서울,종로구,원서동,가회동,126.9888849,37.58318551,2012-11-23,2012.11.23,day,292.0,2025-03-27,2025-03-27,540.0,,,8.0,,,5.0,,,,,,3.0,22709.0,78.0,X,X,www.jfac.or.kr/site/main/home,02-741-8424
박물관,KCDMMUS23N000000039,G밸리산업박물관,서울,구로구,구로동,구로3동,126.8953185,37.4798477,2021-11-01,2021.11.01,day,300.0,2025-03-27,2025-03-27,4053.2,169.2,,12.0,,2.0,9.0,,,,,,14.0,20000.0,67.0,O,O,www.seoul.go.kr/museumg/index.do,02-6734-6900~1
박물관,KCDMMUS23N000000040,가회민화박물관,서울,종로구,가회동,가회동,126.9852625,37.58153972,2002-07-01,2002.07.01,day,305.0,2025-03-27,2025-03-27,136.0,100.0,,,,,,,2.0,,,,34.0,18562.0,61.0,X,X,www.gahoemuseum.org,02-741-0466
박물관,KCDMMUS23N000000041,간송박물관,서울,성북구,성북동,성북동,126.9962385,37.59446244,1938-07-05,1938.07.05,day,110.0,2025-03-27,2025-03-27,1921.0,72.0,,,,,,,14.0,2.0,,,5.0,1870.0,17.0,X,X,kansong.org,02-744-7830
박물관,KCDMMUS23N000000042,경기여자고등학교 경운박물관,서울,강남구,개포동,개포2동,127.0661236,37.48695452,2003-04-15,2003.04.15,day,253.0,2025-03-27,2025-03-27,482.0,898.0,13.0,,,,,,8.0,,35.0,8500.0,3.0,4000.0,16.0,X,X,kwmuseum.org,02-3463-1336
박물관,KCDMMUS23N000000043,고촌이종근기념관,서울,서대문구,충정로3가,충현동,126.9632067,37.5597337,2013-11-12,2013.11.12,day,246.0,2025-03-27,2025-03-27,3834.0,,,,,,,,1.0,,,,7.0,2243.0,9.0,O,X,www.kochonhall.or.kr,02-365-6940
박물관,KCDMMUS23N000000044,관문사성보 박물관,서울,서초구,우면동,양재1동,127.0222823,37.47375033,2006-10-01,2006.10.01,day,100.0,2025-03-27,2025-03-27,2640.0,300.0,,,,,,,1.0,,,,,1000.0,10.0,X,X,www.gwanmunsa.org,02-3460-5300
박물관,KCDMMUS23N000000045,기생충박물관,서울,강서구,화곡동,화곡6동,126.8507501,37.55362014,2017-12-19,2017.12.19,day,300.0,2025-03-27,2025-03-27,738.0,120.0,,,,,,,2.0,,12.0,,11.0,5963.0,20.0,O,O,www.parasite.or.kr,02-2601-3284
박물관,KCDMMUS23N000000046,김달진미술자료박물관,서울,종로구,홍지동,부암동,126.9566597,37.60004663,2008-03-19,2008.03.19,day,280.0,2025-03-27,2025-03-27,251.0,,47.0,,,,,,4.0,1.0,20.0,46900.0,19.0,2412.0,8.0,X,O,daljinmuseum.com,02-730-6216
박물관,KCDMMUS23N000000047,꼭두박물관(휴관),서울,종로구,동숭동,이화동,127.0037167,37.583699,2010-04-29,2010.04.29,day,,2025-03-27,2025-03-27,559.0,,15.0,,,,,,,,,,1.0,,,X,X,www.kokdumuseum.com,02-766-3315
박물관,KCDMMUS23N000000048,농협 농업박물관,서울,중구,충정로1가,소공동,126.9685556,37.56649912,1987-11-18,1987.11.18,day,237.0,2025-03-27,2025-03-27,1520.0,306.0,,,,,,,4.0,,,,22.0,58312.0,246.0,O,X,www.agrimuseum.or.kr:472,02-2080-5722
박물관,KCDMMUS23N000000049,다문화박물관,서울,은평구,불광동,불광1동,126.9325207,37.61878209,2002-10-17,2002.10.17,day,220.0,2025-03-27,2025-03-27,430.0,169.0,34.0,,,,,,,4.0,,1000.0,14.0,7800.0,35.0,X,X,www.multiculturemuseum.com,02-323-6848
박물관,KCDMMUS23N000000050,도산안창호기념관,서울,강남구,신사동,압구정동,127.0356032,37.52395086,1998-11-09,1998.11.09,day,357.0,2025-03-27,2025-03-27,384.0,232.0,36.0,,,,,,2.0,1.0,,3800.0,4.0,44040.0,123.0,O,X,www.ahnchangho.or.kr,02-541-1800
박물관,KCDMMUS23N000000051,떡박물관,서울,종로구,와룡동,종로1.2.3.4가동,126.9906381,37.57489958,2002-01-19,2002.01.19,day,308.0,2025-03-27,2025-03-27,339.6,115.4,26.9,,,,,,4.0,,,1240.0,12.0,8000.0,26.0,X,X,www.tkmuseum.or.kr,02-741-5447
박물관,KCDMMUS23N000000052,롯데월드 민속박물관,서울,송파구,잠실동,잠실3동,127.0981418,37.51130961,1989-01-14,1989.01.14,day,365.0,2025-03-27,2025-03-27,128426.0,965.0,,,,,,,4.0,,,,19.0,249217.0,683.0,O,X,adventure.lotteworld.com/museum,02-411-4764
박물관,KCDMMUS23N000000053,매헌윤봉길의사기념관,서울,서초구,양재동,양재2동,127.0369771,37.4730498,1988-12-01,1988.12.01,day,306.0,2025-03-27,2025-03-27,1895.0,486.0,93.0,,,,,,3.0,,,10000.0,10.0,73968.0,242.0,O,X,www.yunbonggil.or.k,02-578-3388
박물관,KCDMMUS23N000000054,명인박물관,서울,종로구,가회동,가회동,126.9851976,37.58014371,2008-03-19,2008.03.19,day,290.0,2025-03-27,2025-03-27,240.0,,,,,,,,1.0,,,,,720.0,2.0,X,X,,02-766-0272
박물관,KCDMMUS23N000000055,목인박물관 목석원,서울,종로구,부암동,부암동,126.9629694,37.58853365,2006-03-23,2006.03.23,day,225.0,2025-03-27,2025-03-27,3947.0,,4.0,,,,,,4.0,,2.0,1000.0,6.0,13962.0,62.0,O,O,www.mokinmuseum.com,02-722-5055
박물관,KCDMMUS23N000000056,뮤지엄김치간,서울,종로구,관훈동,종로1.2.3.4가동,126.9848651,37.57355389,1986-09-29,1986.09.29,day,304.0,2025-03-27,2025-03-27,,21.2,71.8,,,,,,2.0,2.0,,540.0,8.0,30591.0,101.0,O,O,www.kimchikan.com,02-6002-6456
박물관,KCDMMUS23N000000057,박을복자수박물관,서울,강북구,우이동,우이동,127.0084886,37.65381553,2002-05-25,2002.05.25,day,247.0,2025-03-27,2025-03-27,6648.0,18.0,18.0,,,,,,2.0,,,3000.0,3.0,945.0,4.0,X,X,www.embromuseum.com,02-990-7000
박물관,KCDMMUS23N000000058,배재학당역사박물관,서울,중구,정동,소공동,126.9720891,37.56378783,2008-07-24,2008.07.24,day,200.0,2025-03-27,2025-03-27,1625.6,224.5,,,,,,,1.0,1.0,,,4.0,1754.0,9.0,O,X,appenzeller.pcu.ac.kr/appenzeller,02-319-5578
박물관,KCDMMUS23N000000059,백범김구기념관,서울,용산구,효창동,효창동,126.959253,37.54427794,2002-10-22,2002.10.22,day,311.0,2025-03-27,2025-03-27,18364.0,1372.0,181.0,,,,,,4.0,1.0,,33845.0,16.0,121508.0,391.0,O,X,www.kimkoomuseum.org,02-799-3400
박물관,KCDMMUS23N000000060,보나장신구박물관(휴관),서울,종로구,관훈동,종로1.2.3.4가동,126.9845524,37.57357736,2003-10-05,2003.10.05,day,,2025-03-27,2025-03-27,179.0,,,,,,,,,,,1500.0,,,,X,X,www.bonamuseum.com,02-732-6621
박물관,KCDMMUS23N000000061,북촌동양문화박물관,서울,종로구,삼청동,삼청동,126.9833704,37.58399035,2009-06-01,2009.06.01,day,365.0,2025-03-27,2025-03-27,922.0,199.6,16.5,,,,,,2.0,,,1000.0,5.0,57848.0,158.0,X,X,blog.naver.com/baamuseum,02-723-0190
박물관,KCDMMUS23N000000062,북촌박물관,서울,종로구,가회동,가회동,126.984767,37.58043233,2012-03-08,2012.03.08,day,274.0,2025-03-27,2025-03-27,301.0,27.0,,,,,,,2.0,,,500.0,5.0,3570.0,13.0,X,X,bukchonmuseum.modoo.at,02-766-8402
박물관,KCDMMUS23N000000063,북촌생활사박물관,서울,종로구,삼청동,삼청동,126.9829968,37.58449548,2003-10-01,2003.10.01,day,285.0,2025-03-27,2025-03-27,275.0,,,,,,,,,1.0,1.0,575.0,2.0,2351.0,8.0,X,X,cafe.daum.net/namu3579,02-736-3957
박물관,KCDMMUS23N000000064,불교중앙박물관,서울,종로구,견지동,종로1.2.3.4가동,126.9818817,37.57389314,2007-03-27,2007.03.27,day,117.0,2025-03-27,2025-03-27,2300.0,99.0,,,,,,,14.0,,118.0,,3.0,14701.0,125.0,X,X,museum.buddhism.or.kr,02-2011-1960
박물관,KCDMMUS23N000000065,삼성출판박물관,서울,종로구,구기동,평창동,126.9570922,37.60866602,1990-06-29,1990.06.29,day,243.0,2025-03-27,2025-03-27,328.0,116.0,70.0,,,,,,1.0,1.0,,1300.0,,975.0,4.0,X,X,ssmop.org,02-394-6544
박물관,KCDMMUS23N000000066,샬트르 성바오로수녀회 역사박물관,서울,중구,명동2가,명동,126.987827,37.56222799,2004-06-26,2004.06.26,day,300.0,2025-03-27,2025-03-27,1843.0,240.0,307.0,,,,,,2.0,,,38000.0,,1124.0,4.0,X,X,,02-3706-3255
박물관,KCDMMUS23N000000067,서울대학교병원 의학박물관,서울,종로구,연건동,이화동,126.9971964,37.58045239,1992-04-06,1992.04.06,day,297.0,2025-03-27,2025-03-27,,,36.0,,,,,,2.0,,,,,12353.0,41.0,X,X,medicalmuseum.org,02 2072 2636
박물관,KCDMMUS23N000000068,서울올림픽기념관(휴관),서울,송파구,방이동,오륜동,127.1155179,37.5203397,2001-09-27,2001.09.27,day,,2025-03-27,2025-03-27,43827.0,,,,,,,,,,,,,,,X,X,www.88olympic.or.kr,02-410-1822
박물관,KCDMMUS23N000000069,세계골프역사박물관,서울,강남구,대치동,대치2동,127.062,37.50809527,2014-03-20,2014.03.20,day,270.0,2025-03-27,2025-03-27,750.0,,54.0,,,,,,1.0,,,102.0,1.0,810.0,3.0,X,X,blog.naver.com/golfhistory,02-2192-3005
박물관,KCDMMUS23N000000070,세계장신구박물관,서울,종로구,화동,삼청동,126.9818059,37.5809772,2004-05-12,2004.05.12,day,72.0,2025-03-27,2025-03-27,108.0,80.0,,,,,,,2.0,,,,2.0,300.0,4.0,O,X,www.wjm.or.kr,02-730-1610
박물관,KCDMMUS23N000000071,뮤제 쉼(휴관),서울,종로구,홍지동,부암동,126.955678,37.59950369,2007-10-17,2007.10.17,day,161.0,2025-03-27,2025-03-27,1082.0,16.0,24.0,,,,,,1.0,,,,,68.0,0.4,O,X,www.museeshuim.com,02-396-9277
박물관,KCDMMUS23N000000072,신문박물관 PRESSEUM,서울,종로구,세종로,종로1.2.3.4가동,126.9776571,37.56986776,2000-12-15,2000.12.15,day,294.0,2025-03-27,2025-03-27,876.0,,,,,,,,2.0,,,,4.0,8082.0,27.5,X,X,www.presseum.or.kr,02-2020-1880
박물관,KCDMMUS23N000000073,안중근의사기념관,서울,중구,남대문로5가,회현동,126.9804043,37.55346849,1970-10-26,1970.10.26,day,299.0,2025-03-27,2025-03-27,5773.0,351.0,76.0,,,,,,2.0,,,4200.0,16.0,75063.0,251.0,O,X,www.ahnjunggeun.or.kr,02-3789-1016
박물관,KCDMMUS23N000000074,영인문학관,서울,종로구,평창동,평창동,126.9717362,37.61191904,2001-04-13,2001.04.13,day,150.0,2025-03-27,2025-03-27,281.0,66.0,45.0,,,,,,2.0,,,20000.0,4.0,2000.0,13.0,X,X,young-in.kr,02-379-3182
박물관,KCDMMUS23N000000075,우리옛돌박물관,서울,성북구,성북동,성북동,126.9901339,37.60089696,2015-11-11,2015.11.11,day,259.0,2025-03-27,2025-03-27,5593.0,,15.0,,,,,,2.0,,8.0,3600.0,5.0,7651.0,30.0,O,X,www.koreanstonemuseum.com,02-986-1001
박물관,KCDMMUS23N000000076,우리은행 은행사박물관,서울,중구,회현동1가,회현동,126.9817507,37.55943907,2004-07-14,2004.07.14,day,246.0,2025-03-27,2025-03-27,1779.2,42.9,,,,,,,2.0,,,,4.0,7998.0,32.0,X,X,www.woorimuseum.com,02-2002-5090
박물관,KCDMMUS23N000000077,우석뮤지엄,서울,서대문구,창천동,신촌동,126.9403281,37.55656393,2014-02-26,2014.02.26,day,290.0,2025-03-27,2025-03-27,1410.0,48.0,,,,,,,1.0,,,,2.0,551.0,2.0,X,X,www.artreon.co.kr,02-364-8900
박물관,KCDMMUS23N000000078,유금와당박물관,서울,종로구,부암동,부암동,126.9626578,37.59372003,2008-03-08,2008.03.08,day,240.0,2025-03-27,2025-03-27,876.0,95.0,41.0,,,,,,4.0,,,2400.0,8.0,2386.0,10.0,O,X,www.yoogeum.org,02-394-3451
박물관,KCDMMUS23N000000079,이한열기념관,서울,마포구,노고산동,서교동,126.9338654,37.55504357,2005-06-09,2005.06.09,day,260.0,2025-03-27,2025-03-27,140.0,1.0,5.0,,,,,,1.0,,,600.0,,21495.0,83.0,O,O,www.leememorial.or.kr/,02-325-7216
박물관,KCDMMUS23N000000080,이화박물관,서울,중구,정동,소공동,126.9713244,37.56617664,2006-05-31,2006.05.31,day,250.0,2025-03-27,2025-03-27,484.0,115.0,,,,,,,1.0,,60.0,,2.0,15000.0,60.0,X,X,www.ewhamuseum.co.kr,02-2175-1964
박물관,KCDMMUS23N000000081,전기박물관,서울,서초구,서초동,서초2동,127.0280788,37.48560466,2001-08-10,2001.08.10,day,303.0,2025-03-27,2025-03-27,9974.0,222.0,47.0,,,,,,1.0,,,4141.0,,23495.0,78.0,X,X,www.kepco.co.kr/museum,02-2105-8191~2
박물관,KCDMMUS23N000000082,전쟁과여성인권박물관,서울,마포구,성산동,성산1동,126.9148871,37.56009763,2012-05-05,2012.05.05,day,254.0,2025-03-27,2025-03-27,348.0,99.2,,,,,,,1.0,6.0,41.0,,7.0,7324.0,29.0,X,O,womenandwarmuseum.net/,02-392-5252
박물관,KCDMMUS23N000000083,전쟁기념관,서울,용산구,용산동1가,남영동,126.9784661,37.53731405,1994-06-10,1994.06.10,day,312.0,2025-03-27,2025-03-27,116749.0,757.0,1273.0,,,,,,52.0,34.0,,21000.0,23.0,2863317.0,9177.0,O,X,www.warmemo.or.kr,02-709-3114
박물관,KCDMMUS23N000000084,종이나라박물관,서울,중구,장충동1가,장충동,127.0061539,37.55964972,1999-12-01,1999.12.01,day,298.0,2025-03-27,2025-03-27,4320.0,180.0,17.0,,,,,,4.0,,,430.0,11.0,7891.0,26.0,X,X,www.papermuseum.or.kr,02-2279-7901
박물관,KCDMMUS23N000000085,짚풀생활사박물관,서울,종로구,명륜2가,혜화동,126.9998429,37.58490585,1993-01-18,1993.01.18,day,256.0,2025-03-27,2025-03-27,508.0,73.0,24.0,,,,,,3.0,,1.0,3569.0,3.0,2662.0,10.0,X,X,www.jipul.com,02-743-8787
